Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
Isonitrile chemistry,"Organic Chemistry, Volume 20: Isonitrile Chemistry discusses the fundamental aspects of the chemistry of isonitriles. This book provides an introduction to as well as a thorough …",616,I Ugi - 2012 - books.google.com,0,0,0,0,0,0,0,0.2732,['Neutral']
Chemistry of the Elements,"… This crucial central area of chemistry is full of ingenious experiments, intriguing compounds … avoid the terminorganic chemistry'since this evokes an outmoded view of chemistry which is …",16093,"NN Greenwood, A Earnshaw - 2012 - books.google.com",0,0,0,1,0,0,1,-0.296,"['Curiosity', 'Urgency']"
The chemistry of form,"… structures represent new forms of organized matter which originate from soft chemistry. … for his work on biomineralization and bioinorganic materials chemistry. In 1981, he was elected …",769,"S Mann - Angewandte Chemie International Edition, 2000 - Wiley Online Library",0,0,0,0,0,0,0,0.0258,['Neutral']
The Chemistry of Imidates.,"This review covers the type of compounds variously described as imino ethers, imido esters, imidic esters, imidoates, and imidates as well as their iV-substituted derivatives (alkyl …",535,"R Roger, DG Neilson - Chemical Reviews, 1961 - ACS Publications",0,0,0,0,0,0,0,0.2732,['Neutral']
The chemistry of 2-oxazolines (1985–present),"… -disciplines in synthetic organic chemistry in the 100 years … peptide mimics in medicinal chemistry. Even natural systems … detailing oxazoline-related chemistry is growing, suggesting …",775,"TG Gant, AI Meyers - Tetrahedron, 1994 - Elsevier",0,0,0,0,0,1,0,0.4939,['Tentative']
Systems chemistry,"The study of complex mixtures of interacting synthetic molecules has historically not received much attention from chemists, even though research into complexity is well established in …",705,"RF Ludlow, S Otto - Chemical Society Reviews, 2008 - pubs.rsc.org",0,1,1,0,0,0,0,0.2732,"['Confidence', 'Concern']"
Superelectrophiles and their Chemistry,"… Distant onium dications exhibit chemistry no different … chemistry, they are not superelectrophiles within the context of discussed acid4base interactions. Consequently, their chemistry will …",333,"GA Olah, DA Klumpp - 2007 - books.google.com",0,0,0,0,0,0,0,-0.296,['Neutral']
The Chemistry of Carbodiimides.,"… seventy yearsago, interest in the chemistry of these substances has recently been revived and a large number have been prepared and studied. These factors have prompted …",674,"HG Khorana - Chemical Reviews, 1953 - ACS Publications",0,0,0,0,0,0,0,0.6369,['Neutral']
Environmental chemistry,"With clear explanations, real-world examples and updated ancillary material, the 11th edition of Environmental Chemistry emphasizes the concepts essential to the practice of …",4628,SE Manahan - 2022 - taylorfrancis.com,0,0,0,0,0,0,1,0.3818,['Urgency']
Physical chemistry,"With its modern emphasis on the molecular view of physical chemistry, its wealth of contemporary applications (in the new"" Impact on"" features), vivid full-color presentation, and …",23443,"P Atkins, J De Paula - 2006 - books.google.com",0,0,0,0,0,0,0,0.4939,['Neutral']
Modern organocopper chemistry,"Organocopper compounds are now an integral tool in every modern preparative laboratory, allowing important stages of synthesis to be carried out selectively and in an elegant fashion…",540,N Krause - 2002 - books.google.com,0,0,0,0,0,0,1,0.5994,['Urgency']
Systems chemistry,"… to our current chemistry students today still echoes this. The advent of supramolecular chemistry, now 50 years old, 1 marked the next step up in complexity in chemistry by focusing on …",535,"G Ashkenasy, TM Hermans, S Otto… - Chemical Society …, 2017 - pubs.rsc.org",0,0,1,0,0,0,0,0.0,['Concern']
Physical chemistry,"… The physical chemistry course is the course in which most chemistry students ﬁrst have the opportunity to synthesize what they have leamed in mathematics, physics, and chemistry …",690,RG Mortimer - 2000 - books.google.com,0,0,0,0,0,0,0,0.4215,['Neutral']
Ylid chemistry,"Organic Chemistry, Volume 7: Ylid Chemistry focuses on the physical and chemical properties of ylids. This book discusses the Wittig synthesis of olefins, which involves the reaction …",493,AW Johnson - 2012 - books.google.com,0,0,0,0,0,0,0,0.0,['Neutral']
Environmental chemistry,"Colin Baird’s Environmental Chemistry presents the most balanced coverage of the environmental chemistry of natural systems on the market, and is the only text available to …",2097,"C Baird, M Cann - 2005 - books.google.com",0,0,0,0,0,0,0,0.3612,['Neutral']
Physical chemistry,"Ever since Physical Chemistry was first published in 1913, it has remained a highly effective and relevant learning tool thanks to the efforts of physical chemists from all over the world. …",1807,"RJ Silbey, RA Alberty, GA Papadantonakis… - 2022 - books.google.com",0,0,0,0,0,0,0,0.7425,['Neutral']
An introduction chemistry of the Silicones,"… intelligent use and, inasmuch as the chemistry of these substances ordinarily is not treated … to provide an understanding of the fundamental chemistry of the nonsilicate compounds of …",507,EG Rochow - 2011 - books.google.com,0,0,0,0,0,0,0,0.4588,['Neutral']
Physical chemistry,,4217,WJ Moore - 1972 - Orient Blackswan,0,0,0,0,0,0,0,0.0,['Neutral']
